2025-09-23 00:00:04.708  o.h.v.i.u.Version - HV000001: Hibernate Validator 8.0.2.Final 
2025-09-23 00:00:04.770  o.e.t.c.MemberApiControllerTest - Starting MemberApiControllerTest using Java 17 with PID 10140 (started by user2208 in C:\Users\user2208\Desktop\tama-api) 
2025-09-23 00:00:04.771  o.e.t.c.MemberApiControllerTest - The following 1 profile is active: "local" 
2025-09-23 00:00:05.744  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2025-09-23 00:00:05.849  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 93 ms. Found 12 JPA repository interfaces. 
2025-09-23 00:00:06.522  c.z.h.HikariDataSource - HikariPool-1 - Starting... 
2025-09-23 00:00:06.763  c.z.h.p.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6dcee890 
2025-09-23 00:00:06.765  c.z.h.HikariDataSource - HikariPool-1 - Start completed. 
2025-09-23 00:00:06.860  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
2025-09-23 00:00:06.933  o.h.Version - HHH000412: Hibernate ORM core version 6.2.0.CR2 
2025-09-23 00:00:06.936  o.h.c.Environment - HHH000406: Using bytecode reflection optimizer 
2025-09-23 00:00:07.083  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy 
2025-09-23 00:00:07.202  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
2025-09-23 00:00:07.270  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect 
2025-09-23 00:00:07.563  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy 
2025-09-23 00:00:08.229  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2025-09-23 00:00:08.232  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2025-09-23 00:00:08.543  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. 
2025-09-23 00:00:11.295  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/tama?serverTimezone=Asia/Seoul&characterEncoding=UTF-8' 
2025-09-23 00:00:11.395  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet '' 
2025-09-23 00:00:11.395  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet '' 
2025-09-23 00:00:11.397  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms 
2025-09-23 00:00:11.431  o.e.t.c.MemberApiControllerTest - Started MemberApiControllerTest in 7.163 seconds (process running for 8.367) 
2025-09-23 00:00:12.202  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
2025-09-23 00:00:12.203  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated... 
2025-09-23 00:00:12.224  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed. 
2025-09-23 00:22:33.233  o.h.v.i.u.Version - HV000001: Hibernate Validator 8.0.2.Final 
2025-09-23 00:22:33.285  o.e.t.c.MemberApiControllerTest - Starting MemberApiControllerTest using Java 17 with PID 15068 (started by user2208 in C:\Users\user2208\Desktop\tama-api) 
2025-09-23 00:22:33.286  o.e.t.c.MemberApiControllerTest - The following 1 profile is active: "local" 
2025-09-23 00:22:34.244  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2025-09-23 00:22:34.349  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 96 ms. Found 12 JPA repository interfaces. 
2025-09-23 00:22:35.040  c.z.h.HikariDataSource - HikariPool-1 - Starting... 
2025-09-23 00:22:35.301  c.z.h.p.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@780c0 
2025-09-23 00:22:35.304  c.z.h.HikariDataSource - HikariPool-1 - Start completed. 
2025-09-23 00:22:35.405  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
2025-09-23 00:22:35.465  o.h.Version - HHH000412: Hibernate ORM core version 6.2.0.CR2 
2025-09-23 00:22:35.468  o.h.c.Environment - HHH000406: Using bytecode reflection optimizer 
2025-09-23 00:22:35.628  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy 
2025-09-23 00:22:35.755  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
2025-09-23 00:22:35.845  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect 
2025-09-23 00:22:36.173  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy 
2025-09-23 00:22:36.899  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2025-09-23 00:22:36.902  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2025-09-23 00:22:37.297  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. 
2025-09-23 00:22:40.280  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/tama?serverTimezone=Asia/Seoul&characterEncoding=UTF-8' 
